node_id,source_count,max_interaction_score,evidence_count,has_biogrid_direct,has_string_direct,is_target,degree,label_string_supported
TP53,0,0.0,0,0,0,1,2757,-1
ATM,2,999.0,2,1,1,0,254,1
BCL2,2,999.0,2,1,1,0,183,1
BCL2L1,2,999.0,2,1,1,0,148,1
BRCA1,2,999.0,2,1,1,0,695,1
CDKN1A,2,999.0,2,1,1,0,236,1
CDKN2A,2,999.0,2,1,1,0,253,1
CHEK2,2,999.0,2,1,1,0,174,1
CREBBP,2,999.0,2,1,1,0,333,1
DAXX,2,999.0,2,1,1,0,188,1
EP300,2,999.0,2,1,1,0,727,1
HDAC1,2,999.0,2,1,1,0,547,1
HIF1A,2,999.0,2,1,1,0,283,1
HIPK2,2,999.0,2,1,1,0,61,1
HSP90AA1,2,999.0,2,1,1,0,589,1
MDM2,2,999.0,2,1,1,0,417,1
MDM4,2,999.0,2,1,1,0,81,1
PPP1R13L,2,999.0,2,1,1,0,44,1
PTEN,2,999.0,2,1,1,0,454,1
RAD51,2,999.0,2,1,1,0,211,1
RPA1,2,999.0,2,1,1,0,1161,1
SFN,2,999.0,2,1,1,0,257,1
SIRT1,2,999.0,2,1,1,0,252,1
TP53BP1,2,999.0,2,1,1,0,313,1
TP53BP2,2,999.0,2,1,1,0,99,1
UBE3A,2,999.0,2,1,1,0,189,1
USP7,2,999.0,2,1,1,0,413,1
AURKA,2,998.0,2,1,1,0,348,1
CCNG1,2,998.0,2,1,1,0,27,1
CREB1,2,998.0,2,1,1,0,162,1
FOXO3,2,998.0,2,1,1,0,123,1
HSPA9,2,998.0,2,1,1,0,344,1
HTT,2,998.0,2,1,1,0,186,1
MAPK1,2,998.0,2,1,1,0,258,1
NDN,2,998.0,2,1,1,0,219,1
RCHY1,2,998.0,2,1,1,0,188,1
BAK1,2,997.0,2,1,1,0,30,1
CCNA2,2,997.0,2,1,1,0,172,1
CHEK1,2,997.0,2,1,1,0,191,1
DDX5,2,997.0,2,1,1,0,322,1
DNMT1,2,997.0,2,1,1,0,182,1
HMGB1,2,997.0,2,1,1,0,253,1
HSPA4,2,997.0,2,1,1,0,371,1
JUN,2,997.0,2,1,1,0,304,1
MAPK8,2,997.0,2,1,1,0,166,1
MYC,2,997.0,2,1,1,0,1255,1
NPM1,2,997.0,2,1,1,0,630,1
PRKDC,2,997.0,2,1,1,0,363,1
TBP,2,997.0,2,1,1,0,174,1
ATR,2,996.0,2,1,1,0,140,1
DROSHA,2,996.0,2,1,1,0,109,1
KAT5,2,996.0,2,1,1,0,187,1
S100A4,2,996.0,2,1,1,0,56,1
SUMO1,2,996.0,2,1,1,0,177,1
BRCA2,2,995.0,2,1,1,0,220,1
FOXO4,2,995.0,2,1,1,0,54,1
HSP90AB1,2,995.0,2,1,1,0,496,1
S100B,2,995.0,2,1,1,0,63,1
AKT1,2,994.0,2,1,1,0,378,1
BAX,2,994.0,2,1,1,0,82,1
MAPK14,2,994.0,2,1,1,0,169,1
MAPK3,2,994.0,2,1,1,0,217,1
SP1,2,994.0,2,1,1,0,213,1
STAT3,2,994.0,2,1,1,0,277,1
UBE2I,2,994.0,2,1,1,0,319,1
SMAD2,2,993.0,2,1,1,0,193,1
SMARCA4,2,993.0,2,1,1,0,306,1
ESR1,2,992.0,2,1,1,0,932,1
GSK3B,2,992.0,2,1,1,0,404,1
RRM2B,2,992.0,2,1,1,0,38,1
SNAI1,2,992.0,2,1,1,0,334,1
CASP8,2,991.0,2,1,1,0,123,1
GADD45A,2,991.0,2,1,1,0,60,1
YWHAZ,2,991.0,2,1,1,0,409,1
BRD4,2,990.0,2,1,1,0,770,1
BRD7,2,990.0,2,1,1,0,339,1
HDAC2,2,990.0,2,1,1,0,467,1
NFKB1,2,989.0,2,1,1,0,218,1
SMYD2,2,989.0,2,1,1,0,27,1
IFI16,2,988.0,2,1,1,0,350,1
CDK2,2,987.0,2,1,1,0,470,1
HSPA8,2,987.0,2,1,1,0,843,1
E2F1,2,986.0,2,1,1,0,162,1
PPP1R13B,2,986.0,2,1,1,0,56,1
KAT2B,2,985.0,2,1,1,0,193,1
TP73,2,985.0,2,1,1,0,127,1
RB1CC1,2,984.0,2,1,1,0,174,1
TADA3,2,983.0,2,1,1,0,78,1
TAF9,2,983.0,2,1,1,0,133,1
WT1,2,983.0,2,1,1,0,38,1
ATF3,2,982.0,2,1,1,0,62,1
BARD1,2,982.0,2,1,1,0,209,1
ING4,2,982.0,2,1,1,0,54,1
L3MBTL1,2,982.0,2,1,1,0,67,1
MAPK9,2,982.0,2,1,1,0,101,1
RBBP6,2,982.0,2,1,1,0,101,1
TP53RK,2,982.0,2,1,1,0,34,1
ATRX,2,981.0,2,1,1,0,179,1
PLK1,2,981.0,2,1,1,0,389,1
ANXA2,2,977.0,2,1,1,0,217,1
COPS5,2,977.0,2,1,1,0,513,1
GNL3,2,976.0,2,1,1,0,220,1
SMARCB1,2,976.0,2,1,1,0,208,1
APAF1,2,974.0,2,1,1,0,50,1
CCNA1,2,974.0,2,1,1,0,82,1
MSH2,2,974.0,2,1,1,0,205,1
PTGS2,2,974.0,2,1,1,0,68,1
TRRAP,2,973.0,2,1,1,0,297,1
ETS1,2,972.0,2,1,1,0,88,1
PARP1,2,972.0,2,1,1,0,634,1
CUL9,2,971.0,2,1,1,0,53,1
HSPA1B,2,971.0,2,1,1,0,160,1
RPL11,2,971.0,2,1,1,0,361,1
RPS27A,2,971.0,2,1,1,0,416,1
DDX17,2,970.0,2,1,1,0,230,1
ETS2,2,970.0,2,1,1,0,33,1
PHF20,2,970.0,2,1,1,0,51,1
STK11,2,970.0,2,1,1,0,156,1
CUL7,2,969.0,2,1,1,0,470,1
E4F1,2,969.0,2,1,1,0,51,1
EGR1,2,969.0,2,1,1,0,54,1
ING5,2,969.0,2,1,1,0,49,1
STUB1,2,968.0,2,1,1,0,262,1
CDK5,2,967.0,2,1,1,0,113,1
HIPK1,2,967.0,2,1,1,0,13,1
PML,2,967.0,2,1,1,0,480,1
SLC2A1,2,967.0,2,1,1,0,89,1
TWIST1,2,967.0,2,1,1,0,62,1
CDK4,2,966.0,2,1,1,0,205,1
MUC1,2,966.0,2,1,1,0,63,1
SUMO2,2,965.0,2,1,1,0,342,1
SMAD3,2,963.0,2,1,1,0,233,1
TAF1,2,963.0,2,1,1,0,151,1
WRN,2,963.0,2,1,1,0,107,1
CDK1,2,962.0,2,1,1,0,370,1
ARID1A,2,961.0,2,1,1,0,164,1
SCO2,2,961.0,2,1,1,0,56,1
FBXW7,2,960.0,2,1,1,0,522,1
POLI,2,960.0,2,1,1,0,32,1
BBC3,2,959.0,2,1,1,0,27,1
CSNK2A1,2,959.0,2,1,1,0,431,1
XPO1,2,959.0,2,1,1,0,526,1
HIPK3,2,958.0,2,1,1,0,22,1
BCL6,2,957.0,2,1,1,0,103,1
CDKN2C,2,957.0,2,1,1,0,43,1
BMI1,2,956.0,2,1,1,0,346,1
CASP3,2,956.0,2,1,1,0,177,1
HSPB1,2,955.0,2,1,1,0,313,1
RELA,2,955.0,2,1,1,0,280,1
XRCC6,2,955.0,2,1,1,0,506,1
PIAS4,2,954.0,2,1,1,0,109,1
TRAF6,2,954.0,2,1,1,0,222,1
TP63,2,953.0,2,1,1,0,136,1
FOS,2,952.0,2,1,1,0,192,1
TOPORS,2,952.0,2,1,1,0,56,1
DNAJB1,2,951.0,2,1,1,0,133,1
GTF2H1,2,950.0,2,1,1,0,92,1
PPARG,2,949.0,2,1,1,0,211,1
TOPBP1,2,949.0,2,1,1,0,87,1
SETD7,2,947.0,2,1,1,0,73,1
TOP1,2,947.0,2,1,1,0,337,1
CCND1,2,946.0,2,1,1,0,252,1
NQO1,2,946.0,2,1,1,0,47,1
PIN1,2,946.0,2,1,1,0,148,1
PPP2R1A,2,946.0,2,1,1,0,284,1
TCHP,2,946.0,2,1,1,0,65,1
RPL5,2,945.0,2,1,1,0,355,1
APEX1,2,944.0,2,1,1,0,418,1
BANP,2,944.0,2,1,1,0,68,1
EGFR,2,943.0,2,1,1,0,989,1
HNRNPK,2,943.0,2,1,1,0,305,1
YY1,2,942.0,2,1,1,0,252,1
KDM1A,2,941.0,2,1,1,0,360,1
SIN3A,2,941.0,2,1,1,0,202,1
NUMB,2,940.0,2,1,1,0,89,1
BECN1,2,939.0,2,1,1,0,139,1
CSNK2A2,2,939.0,2,1,1,0,318,1
CAPN1,2,938.0,2,1,1,0,94,1
PRMT1,2,937.0,2,1,1,0,466,1
NR3C1,2,936.0,2,1,1,0,350,1
PMS2,2,936.0,2,1,1,0,63,1
RB1,2,936.0,2,1,1,0,224,1
RUNX3,2,936.0,2,1,1,0,50,1
ERBB2,2,935.0,2,1,1,0,242,1
TP53INP1,2,935.0,2,1,1,0,11,1
AIFM2,2,934.0,2,1,1,0,15,1
PPID,2,934.0,2,1,1,0,55,1
IKBKB,2,933.0,2,1,1,0,141,1
BLM,2,932.0,2,1,1,0,144,1
USP10,2,931.0,2,1,1,0,161,1
CARM1,2,930.0,2,1,1,0,169,1
CEBPA,2,930.0,2,1,1,0,562,1
NOC2L,2,930.0,2,1,1,0,181,1
ARID3A,2,929.0,2,1,1,0,45,1
DGCR8,2,929.0,2,1,1,0,114,1
MTA1,2,929.0,2,1,1,0,138,1
RNF20,2,929.0,2,1,1,0,124,1
PTK2,2,928.0,2,1,1,0,142,1
CTNNB1,2,927.0,2,1,1,0,553,1
CSNK1A1,2,926.0,2,1,1,0,200,1
GLS2,2,926.0,2,1,1,0,12,1
HRAS,2,925.0,2,1,1,0,208,1
PLK3,2,924.0,2,1,1,0,18,1
PRMT5,2,924.0,2,1,1,0,257,1
YBX1,2,922.0,2,1,1,0,324,1
UBC,2,921.0,2,1,1,0,670,1
EHMT1,2,920.0,2,1,1,0,97,1
EHMT2,2,919.0,2,1,1,0,149,1
MCL1,2,918.0,2,1,1,0,102,1
POLK,2,918.0,2,1,1,0,35,1
NFKBIA,2,915.0,2,1,1,0,157,1
SNAI2,2,915.0,2,1,1,0,52,1
CHUK,2,914.0,2,1,1,0,129,1
ING1,2,914.0,2,1,1,0,75,1
MED17,2,914.0,2,1,1,0,122,1
WWOX,2,914.0,2,1,1,0,249,1
PCNA,2,913.0,2,1,1,0,273,1
TFAP2A,2,913.0,2,1,1,0,65,1
NCL,2,911.0,2,1,1,0,416,1
ABL1,2,909.0,2,1,1,0,140,1
KAT2A,2,909.0,2,1,1,0,130,1
AURKB,2,908.0,2,1,1,0,410,1
ERCC3,2,908.0,2,1,1,0,143,1
MED1,2,906.0,2,1,1,0,244,1
AR,2,905.0,2,1,1,0,501,1
AXIN1,2,905.0,2,1,1,0,89,1
SIRT7,2,904.0,2,1,1,0,391,1
TRIM28,2,904.0,2,1,1,0,597,1
PSMC5,2,903.0,2,1,1,0,235,1
EP400,2,902.0,2,1,1,0,120,1
TERT,2,902.0,2,1,1,0,94,1
SQSTM1,2,901.0,2,1,1,0,482,1
YWHAE,2,900.0,2,1,1,0,377,1
TXN,2,899.0,2,1,1,0,178,1
PIAS1,2,897.0,2,1,1,0,201,1
E2F7,2,895.0,2,1,1,0,24,1
CDC25C,2,894.0,2,1,1,0,94,1
CDK9,2,889.0,2,1,1,0,391,1
SMARCD1,2,889.0,2,1,1,0,135,1
CDK7,2,888.0,2,1,1,0,290,1
DDX20,2,888.0,2,1,1,0,102,1
CCT4,2,887.0,2,1,1,0,254,1
PPARGC1A,2,887.0,2,1,1,0,96,1
GAPDH,2,886.0,2,1,1,0,414,1
SRC,2,884.0,2,1,1,0,286,1
PPM1D,2,883.0,2,1,1,0,34,1
CUL4A,2,882.0,2,1,1,0,358,1
PSME3,2,882.0,2,1,1,0,168,1
PSMD4,2,880.0,2,1,1,0,184,1
ACTB,2,879.0,2,1,1,0,469,1
G3BP1,2,879.0,2,1,1,0,390,1
PER2,2,879.0,2,1,1,0,78,1
PPP2R5C,2,878.0,2,1,1,0,52,1
SRSF1,2,878.0,2,1,1,0,300,1
FAS,2,877.0,2,1,1,0,133,1
GTF2B,2,876.0,2,1,1,0,96,1
RPL26,2,876.0,2,1,1,0,252,1
MTOR,2,874.0,2,1,1,0,201,1
PBK,2,873.0,2,1,1,0,106,1
TOP1MT,2,873.0,2,1,1,0,25,1
AGO2,2,872.0,2,1,1,0,201,1
E2F4,2,872.0,2,1,1,0,224,1
OTUB1,2,872.0,2,1,1,0,187,1
DYRK2,2,870.0,2,1,1,0,88,1
HNF4A,2,868.0,2,1,1,0,175,1
HMGA2,2,867.0,2,1,1,0,81,1
DAPK1,2,866.0,2,1,1,0,71,1
MAP3K1,2,866.0,2,1,1,0,87,1
PSMD10,2,866.0,2,1,1,0,96,1
NFYA,2,865.0,2,1,1,0,57,1
TRIM24,2,865.0,2,1,1,0,167,1
CABLES1,2,864.0,2,1,1,0,23,1
USP11,2,864.0,2,1,1,0,284,1
TRIAP1,2,863.0,2,1,1,0,11,1
KAT6A,2,861.0,2,1,1,0,249,1
PADI4,2,861.0,2,1,1,0,19,1
CDKN2B,2,860.0,2,1,1,0,51,1
PHB,2,860.0,2,1,1,0,509,1
TPT1,2,859.0,2,1,1,0,186,1
VRK1,2,859.0,2,1,1,0,168,1
MTA2,2,857.0,2,1,1,0,228,1
RPS3,2,857.0,2,1,1,0,408,1
ZNF148,2,857.0,2,1,1,0,59,1
PLAGL1,2,856.0,2,1,1,0,17,1
TXNIP,2,855.0,2,1,1,0,126,1
TAF6,2,854.0,2,1,1,0,185,1
IGF1R,2,853.0,2,1,1,0,189,1
MDC1,2,853.0,2,1,1,0,222,1
NCOR1,2,853.0,2,1,1,0,212,1
TCP1,2,851.0,2,1,1,0,253,1
IDH1,2,845.0,2,1,1,0,79,1
RBPJ,2,845.0,2,1,1,0,133,1
SETD2,2,845.0,2,1,1,0,118,1
PIAS2,2,844.0,2,1,1,0,79,1
CSNK2B,2,843.0,2,1,1,0,283,1
TOP2A,2,843.0,2,1,1,0,331,1
S100A6,2,842.0,2,1,1,0,65,1
UBR5,2,840.0,2,1,1,0,248,1
ELAVL1,2,839.0,2,1,1,0,594,1
SOCS1,2,839.0,2,1,1,0,91,1
SSBP1,2,839.0,2,1,1,0,204,1
ING2,2,837.0,2,1,1,0,53,1
KAT8,2,835.0,2,1,1,0,79,1
USP42,2,835.0,2,1,1,0,32,1
RNF2,2,834.0,2,1,1,0,406,1
CCNH,2,833.0,2,1,1,0,104,1
PPP2CA,2,833.0,2,1,1,0,180,1
CCT5,2,831.0,2,1,1,0,253,1
REL,2,831.0,2,1,1,0,111,1
EEF2,2,828.0,2,1,1,0,342,1
YWHAB,2,828.0,2,1,1,0,311,1
CCT2,2,826.0,2,1,1,0,299,1
CSNK1D,2,826.0,2,1,1,0,127,1
HSPA1L,2,826.0,2,1,1,0,131,1
MSH6,2,826.0,2,1,1,0,177,1
NCOA1,2,826.0,2,1,1,0,76,1
SETD1A,2,826.0,2,1,1,0,116,1
HUWE1,2,825.0,2,1,1,0,516,1
PKM,2,825.0,2,1,1,0,265,1
BCL2L14,2,824.0,2,1,1,0,43,1
HSPA5,2,824.0,2,1,1,0,604,1
UBE2A,2,824.0,2,1,1,0,110,1
ZEB1,2,824.0,2,1,1,0,141,1
CCT7,2,823.0,2,1,1,0,273,1
TFDP1,2,823.0,2,1,1,0,74,1
ELL,2,822.0,2,1,1,0,50,1
BRD1,2,821.0,2,1,1,0,113,1
MUL1,2,820.0,2,1,1,0,29,1
RING1,2,819.0,2,1,1,0,124,1
NR4A1,2,817.0,2,1,1,0,120,1
CFLAR,2,816.0,2,1,1,0,47,1
HERC2,2,816.0,2,1,1,0,187,1
KIT,2,816.0,2,1,1,0,68,1
PARK7,2,814.0,2,1,1,0,164,1
RANBP2,2,812.0,2,1,1,0,196,1
SKP1,2,812.0,2,1,1,0,234,1
UBE2N,2,811.0,2,1,1,0,177,1
EWSR1,2,810.0,2,1,1,0,351,1
GNAS,2,810.0,2,1,1,0,106,1
KMT2D,2,810.0,2,1,1,0,92,1
CCDC8,2,808.0,2,1,1,0,298,1
CDK6,2,808.0,2,1,1,0,129,1
NEDD8,2,808.0,2,1,1,0,234,1
RUNX2,2,808.0,2,1,1,0,82,1
USP28,2,806.0,2,1,1,0,61,1
CXCL8,2,804.0,2,1,1,0,60,1
ERCC2,2,804.0,2,1,1,0,108,1
FBXW8,2,804.0,2,1,1,0,59,1
MET,2,804.0,2,1,1,0,109,1
RRM2,2,803.0,2,1,1,0,117,1
STAT6,2,803.0,2,1,1,0,70,1
GPX2,2,802.0,2,1,1,0,28,1
PHF1,2,802.0,2,1,1,0,71,1
UBB,2,799.0,2,1,1,0,249,1
ZNF420,2,799.0,2,1,1,0,13,1
CRYAB,2,798.0,2,1,1,0,57,1
KDM4A,2,798.0,2,1,1,0,68,1
MYBBP1A,2,798.0,2,1,1,0,233,1
PRIMA1,2,798.0,2,1,1,0,2,1
PSMD2,2,795.0,2,1,1,0,212,1
UCHL1,2,795.0,2,1,1,0,120,1
E2F2,2,791.0,2,1,1,0,36,1
ITCH,2,791.0,2,1,1,0,158,1
SUZ12,2,791.0,2,1,1,0,340,1
FOXM1,2,790.0,2,1,1,0,102,1
S100A1,2,790.0,2,1,1,0,14,1
WDR77,2,787.0,2,1,1,0,201,1
TDG,2,786.0,2,1,1,0,48,1
UBD,2,786.0,2,1,1,0,29,1
DHFR,2,785.0,2,1,1,0,47,1
VHL,2,784.0,2,1,1,0,269,1
NCOA6,2,782.0,2,1,1,0,105,1
STAT1,2,781.0,2,1,1,0,209,1
NFE2L2,2,780.0,2,1,1,0,111,1
TRIM25,2,780.0,2,1,1,0,755,1
NR0B2,2,777.0,2,1,1,0,41,1
CCT3,2,776.0,2,1,1,0,254,1
RBX1,2,776.0,2,1,1,0,318,1
XAF1,2,776.0,2,1,1,0,27,1
EIF2AK2,2,775.0,2,1,1,0,165,1
PTTG1,2,775.0,2,1,1,0,93,1
JAK1,2,774.0,2,1,1,0,104,1
PRKAB2,2,774.0,2,1,1,0,60,1
RPA2,2,774.0,2,1,1,0,1110,1
TYMS,2,774.0,2,1,1,0,77,1
MOV10,2,773.0,2,1,1,0,427,1
NF2,2,773.0,2,1,1,0,190,1
PELP1,2,771.0,2,1,1,0,130,1
CD8A,2,770.0,2,1,1,0,58,1
FUBP1,2,769.0,2,1,1,0,157,1
DMTF1,2,768.0,2,1,1,0,4,1
HDAC5,2,768.0,2,1,1,0,228,1
SIRT2,2,768.0,2,1,1,0,93,1
WDR5,2,768.0,2,1,1,0,599,1
AIMP2,2,767.0,2,1,1,0,213,1
PRKCD,2,767.0,2,1,1,0,86,1
SSRP1,2,766.0,2,1,1,0,352,1
PATZ1,2,764.0,2,1,1,0,52,1
PRKAA1,2,764.0,2,1,1,0,105,1
KRT8,2,763.0,2,1,1,0,170,1
NBN,2,763.0,2,1,1,0,133,1
UHRF2,2,763.0,2,1,1,0,77,1
ANXA1,2,762.0,2,1,1,0,131,1
GDF15,2,762.0,2,1,1,0,18,1
KLF5,2,762.0,2,1,1,0,116,1
PDGFRA,2,762.0,2,1,1,0,126,1
CCT6A,2,761.0,2,1,1,0,255,1
CDC42,2,760.0,2,1,1,0,410,1
CTBP1,2,759.0,2,1,1,0,191,1
DNAJA1,2,759.0,2,1,1,0,262,1
BTRC,2,758.0,2,1,1,0,373,1
CCT8,2,757.0,2,1,1,0,269,1
KMT2A,2,757.0,2,1,1,0,216,1
SUPT16H,2,756.0,2,1,1,0,267,1
NUPR1,2,755.0,2,1,1,0,304,1
RPLP0,2,755.0,2,1,1,0,363,1
TET2,2,755.0,2,1,1,0,103,1
BAG1,2,754.0,2,1,1,0,249,1
HSPA1A,2,754.0,2,1,1,0,646,1
ANK3,2,753.0,2,1,1,0,90,1
UBE2K,2,753.0,2,1,1,0,80,1
WEE1,2,753.0,2,1,1,0,95,1
BAG2,2,752.0,2,1,1,0,267,1
ERCC6,2,752.0,2,1,1,0,161,1
CCDC106,2,751.0,2,1,1,0,18,1
DDX3X,2,750.0,2,1,1,0,322,1
MAGED2,2,750.0,2,1,1,0,115,1
XRCC1,2,750.0,2,1,1,0,114,1
CHD4,2,749.0,2,1,1,0,512,1
RBBP5,2,748.0,2,1,1,0,194,1
BUB1B,2,745.0,2,1,1,0,135,1
SP100,2,744.0,2,1,1,0,109,1
MYBL2,2,742.0,2,1,1,0,92,1
RFFL,2,742.0,2,1,1,0,29,1
CDC6,2,741.0,2,1,1,0,103,1
CASP7,2,740.0,2,1,1,0,54,1
FBXO42,2,740.0,2,1,1,0,126,1
RPS27,2,739.0,2,1,1,0,246,1
LATS2,2,738.0,2,1,1,0,141,1
LRRK2,2,738.0,2,1,1,0,191,1
MAPKAPK5,2,738.0,2,1,1,0,33,1
KRT5,2,737.0,2,1,1,0,94,1
FBXO11,2,736.0,2,1,1,0,49,1
TOP3A,2,736.0,2,1,1,0,70,1
CSNK1E,2,735.0,2,1,1,0,132,1
OBSL1,2,734.0,2,1,1,0,398,1
HNRNPC,2,733.0,2,1,1,0,334,1
RNF40,2,732.0,2,1,1,0,118,1
UBE4B,2,732.0,2,1,1,0,68,1
MIF,2,731.0,2,1,1,0,123,1
KDR,2,730.0,2,1,1,0,90,1
ANK2,2,727.0,2,1,1,0,55,1
DTL,2,727.0,2,1,1,0,107,1
CDK8,2,726.0,2,1,1,0,119,1
ERBB4,2,726.0,2,1,1,0,63,1
GATA3,2,724.0,2,1,1,0,123,1
PRDX1,2,723.0,2,1,1,0,204,1
RPS19,2,723.0,2,1,1,0,364,1
TUBB,2,723.0,2,1,1,0,349,1
ALB,2,722.0,2,1,1,0,193,1
MCM4,2,722.0,2,1,1,0,193,1
NUAK1,2,722.0,2,1,1,0,50,1
ACTL6A,2,721.0,2,1,1,0,186,1
YAP1,2,721.0,2,1,1,0,570,1
HMGA1,2,720.0,2,1,1,0,198,1
MEN1,2,720.0,2,1,1,0,486,1
BCL2L2,2,718.0,2,1,1,0,33,1
BUB3,2,718.0,2,1,1,0,169,1
REST,2,718.0,2,1,1,0,169,1
CHD3,2,717.0,2,1,1,0,414,1
CYLD,2,717.0,2,1,1,0,459,1
NFYB,2,717.0,2,1,1,0,41,1
SET,2,714.0,2,1,1,0,128,1
SMN1,2,714.0,2,1,1,0,130,1
BRPF3,2,713.0,2,1,1,0,68,1
RBBP4,2,713.0,2,1,1,0,311,1
VIM,2,712.0,2,1,1,0,339,1
DDB1,2,711.0,2,1,1,0,379,1
MAP2K3,2,711.0,2,1,1,0,151,1
AGO1,2,710.0,2,1,1,0,113,1
KDM6A,2,710.0,2,1,1,0,97,1
UBA1,2,710.0,2,1,1,0,177,1
CUL1,2,709.0,2,1,1,0,433,1
RAD50,2,709.0,2,1,1,0,218,1
TUBB2A,2,709.0,2,1,1,0,154,1
USP24,2,709.0,2,1,1,0,49,1
VCP,2,709.0,2,1,1,0,589,1
TNFAIP3,2,708.0,2,1,1,0,81,1
E2F3,2,707.0,2,1,1,0,49,1
DHCR24,2,706.0,2,1,1,0,53,1
PMS1,2,706.0,2,1,1,0,56,1
PHC3,2,705.0,2,1,1,0,70,1
THRB,2,705.0,2,1,1,0,46,1
RPS6,2,704.0,2,1,1,0,423,1
BAG5,2,703.0,2,1,1,0,154,1
HEY1,2,703.0,2,1,1,0,87,1
WRAP53,2,703.0,2,1,1,0,49,1
ZBTB16,2,703.0,2,1,1,0,66,1
CDKN1C,2,701.0,2,1,1,0,40,1
TSG101,2,701.0,2,1,1,0,134,1
CALML5,2,700.0,2,1,1,0,118,1
HNRNPU,2,700.0,2,1,1,0,477,1
PPIF,1,993.0,1,0,1,0,54,1
CDKN1B,1,991.0,1,0,1,0,131,1
G6PD,1,986.0,1,0,1,0,112,1
TIGAR,1,981.0,1,0,1,0,5,1
S100A2,1,980.0,1,0,1,0,129,1
DDB2,1,979.0,1,0,1,0,129,1
SREBF2,1,978.0,1,0,1,0,97,1
AKT2,1,973.0,1,0,1,0,98,1
H3C12,1,971.0,1,0,1,0,241,1
PMAIP1,1,970.0,1,0,1,0,88,1
MLH1,1,965.0,1,0,1,0,114,1
GADD45B,1,964.0,1,0,1,0,15,1
COP1,1,961.0,1,0,1,0,20,1
MAPK11,1,960.0,1,0,1,0,55,1
TFAM,1,959.0,1,0,1,0,162,1
PIDD1,1,958.0,1,0,1,0,26,1
